Time (s),Manipulability,Joint Velocities
1.8792216777801514,1.1542618035362509,"[0.6232027197299758, 0.3859272251263325, -0.12705047122666474, -0.03337770871361717, -0.39848460440543193, 0.39844220585356804, -0.16138865132093821, -0.47816097094962773, -0.029586731167467215, 0.45513602827810395]"
1.9177250862121582,1.1593717718214986,"[0.6293062709580048, 0.372829113087515, -0.09921462909774195, -0.026057755113839797, -0.40059336184560546, 0.40059265195438026, -0.1613731133644191, -0.48071663571415596, -0.05789069054880367, 0.48070037088517265]"
1.9334547519683838,1.1650254856518119,"[0.6324166080065494, 0.37067387080691655, -0.09278871060404563, -0.024533546765465136, -0.4028291643324883, 0.40282413758010094, -0.1613338852848217, -0.48339712299732795, -0.06907424675954436, 0.4833768879153135]"
1.9595956802368164,1.1710686411502143,"[0.6349572900662945, 0.36925306491403825, -0.08807063403713665, -0.023419243942966007, -0.40301156407536143, 0.40542877271001165, -0.1615878337383166, -0.4866533719620268, -0.07759344473124244, 0.48596099134271514]"
1.9919404983520508,1.1774502093492336,"[0.6370648880327667, 0.36775649346295863, -0.08277263033885494, -0.022170196163562687, -0.400385271793049, 0.4074550401865929, -0.16125446390880036, -0.4888799070942384, -0.0854085161130599, 0.48922554824636816]"
2.0133161544799805,1.1841265562348164,"[0.6391034571403978, 0.3665549619394963, -0.07805409487277688, -0.021062052181773365, -0.3972068915313678, 0.4097378326897285, -0.1610999758959964, -0.4915112759787487, -0.09257327718432715, 0.4924964212742629]"
2.0386016368865967,1.1910757012843833,"[0.6411039790999169, 0.36559588053622366, -0.07377084233656218, -0.020056897941648784, -0.393559714077782, 0.4122375667614533, -0.16106748527201506, -0.4944639115413292, -0.09930414799152032, 0.49580031474420383]"
2.0628418922424316,1.1982772427109023,"[0.6430996792810296, 0.36483002009768395, -0.06978462052526553, -0.019118889044792243, -0.3895157911851696, 0.4149208009666847, -0.16112475992350342, -0.4976736606322542, -0.10579329849736134, 0.4991746900007096]"
2.0773277282714844,1.2057119923954875,"[0.6451133364523701, 0.36422601879841976, -0.06600309859201434, -0.01822404754805564, -0.38512055783551874, 0.4177669067628935, -0.1612520355660381, -0.5010992312028726, -0.11217658106850086, 0.5026452670632936]"
2.108858346939087,1.21336122799146,"[0.6531385992015195, 0.3570289178211714, -0.04875140886600288, -0.01349331733052128, -0.39275190089261564, 0.42139444391429604, -0.16194424978916994, -0.4913130450815884, -0.13724465238503916, 0.5056733365829845]"
2.144477605819702,1.2215179777600842,"[0.6660518128455206, 0.3443477152503254, -0.018554844478538283, -0.005173209903758386, -0.4076708193581998, 0.42448279780953, -0.1621434789914488, -0.47280763040313667, -0.17861493019761102, 0.5093793551485286]"
2.1785573959350586,1.2304077646788008,"[0.67978055400937, 0.33111151670643774, 0.013431339872214188, 0.0037726955865747115, -0.42154339154878806, 0.42765154892669527, -0.16235762013287833, -0.45422655594921607, -0.22180964218047533, 0.5131818429468622]"
