time,neo_distance_to_goal,neo_distance_to_obstacle1,neo_distance_to_obstacle2,manipulability
5.769999999999921,0.060742856230126714,0.6233548063876474,0.8004326082454479,0.0918306227987487
5.779999999999921,0.06056339957134745,0.6251513626469752,0.8027514171117284,0.09183222798374789
5.789999999999921,0.06038473276310376,0.6269488719935322,0.8050746167718416,0.09183420596219635
5.799999999999921,0.060206851567019694,0.6287473284174946,0.8074022529069055,0.09183656372843156
5.809999999999921,0.060029751768040075,0.6305467259671477,0.8097343720798191,0.09183930844914567
5.81999999999992,0.05985342917439519,0.6323470587484015,0.8120710217564635,0.0918424474684963
5.82999999999992,0.059677879617572795,0.6341483209243273,0.8144122503275071,0.09184598831340117
5.83999999999992,0.059503098952294754,0.6359505067147094,0.8167581071308335,0.09184993869901784
5.84999999999992,0.059329083056502405,0.6377536103956128,0.8191086424746093,0.09185430653442125
5.8599999999999195,0.05915582783134846,0.6395576262989724,0.8214639076610137,0.0918590999284875
5.869999999999919,0.058983329201197754,0.6413625488121952,0.8238239550106466,0.09186432719598299
5.879999999999919,0.058811583113634526,0.6431683723777837,0.8261888378876381,0.09186999686388339
5.889999999999919,0.05864058553948035,0.644975091492976,0.828558610725479,0.09187611767791455
5.899999999999919,0.05847033247282133,0.6467827007094045,0.8309333290535952,0.09188269860933668
5.909999999999918,0.05830081993104402,0.6485911946327717,0.8333130495246857,0.09188974886197618
5.919999999999918,0.05813204395488246,0.6504005679225481,0.8356978299428508,0.09189727787951701
5.929999999999918,0.05796400060847654,0.6522108152916858,0.8380877292925313,0.09190529535306076
5.939999999999918,0.057796685979441924,0.6540219315063527,0.8404828077682827,0.09191381122896937
5.949999999999918,0.05763009617895179,0.6558339113856876,0.8428831268054116,0.09192283571700084
5.959999999999917,0.057464227341833055,0.6576467498015748,0.8452887491114972,0.0919323792987459
5.969999999999917,0.05729907562667451,0.6594604416784381,0.8476997386988256,0.09194245273638779
5.979999999999917,0.05713463721595088,0.6612749819930573,0.8501161609177635,0.09195306708178902
5.989999999999917,0.05697090831616252,0.6630903657744066,0.8525380824910975,0.09196423368592653
5.9999999999999165,0.056807885157990484,0.6649065881035133,0.854965571549369,0.0919759642086827
6.009999999999916,0.05664556399647019,0.6667236441133411,0.8573986976672322,0.09198827062901277
6.019999999999916,0.0564839411111812,0.6685415289886946,0.8598375319008641,0.09200116525550579
6.029999999999916,0.05632301280645857,0.6703602379661504,0.8622821468264585,0.09201466073734937
6.039999999999916,0.05616277541162238,0.6721797663340101,0.8647326165798315,0.09202877007571872
6.0499999999999154,0.056003225281231674,0.6740001094322804,0.867189016897173,0.09204350663561524
6.059999999999915,0.055844358795356604,0.6758212626526782,0.8696514251569719,0.09205888415815829
6.069999999999915,0.05568617235987812,0.6776432214386636,0.8721199204231515,0.09207491677336842
6.079999999999915,0.05552866240681215,0.6794659812855006,0.8745945834894431,0.09209161901344512
6.089999999999915,0.05537182539465827,0.6812895377403468,0.8770754969250337,0.09210900582657702
6.099999999999914,0.055215657808778185,0.6831138864023716,0.8795627451215199,0.09212709259129427
6.109999999999914,0.05506015616180331,0.684939022922908,0.8820564143412009,0.092145895131396
6.119999999999914,0.05490531699407282,0.6867649430056348,0.8845565927667438,0.09216542973147114
6.129999999999914,0.054751136874104114,0.6885916424067928,0.8870633705522566,0.09218571315304512
6.1399999999999135,0.05459761239909831,0.690419116935436,0.8895768398757985,0.09220676265137435
6.149999999999913,0.054444740195480644,0.6922473624537194,0.8920970949933638,0.09222859599291744
6.159999999999913,0.054292516919480206,0.6940763748772236,0.8946242322943697,0.09225123147351702
6.169999999999913,0.05414093925774722,0.6959061501753215,0.8971583503586807,0.0922746879373192
6.179999999999913,0.05399000392801432,0.6977366843715828,0.8996995500152,0.09229898479646276
6.1899999999999125,0.05383970767980031,0.6995679735442246,0.9022479344020574,0.09232414205157302
6.199999999999912,0.05369004729516024,0.7014000138266074,0.9048036090284239,0.09235018031309897
6.209999999999912,0.05354101958948231,0.7032328014077754,0.9073666818379752,0.09237712082352058
6.219999999999912,0.05339262141233829,0.705066332533051,0.9099372632740341,0.09240498548047733
6.229999999999912,0.05324484964838206,0.706900603504678,0.9125154663464092,0.09243379686084584
6.239999999999911,0.053097701218306946,0.7087356106825227,0.9151014066999521,0.09246357824581392
6.249999999999911,0.05295117307985996,0.71057135048483,0.9176952026848441,0.09249435364699479
6.259999999999911,0.05280526222891308,0.7124078193890426,0.920296975428631,0.09252614783362223
6.269999999999911,0.052659965700600615,0.7142450139326838,0.9229068489100047,0.09255898636087559
6.2799999999999105,0.05251528057052045,0.7160829307143072,0.9255249500343394,0.09259289559937857
6.28999999999991,0.052371203956001505,0.7179215663945183,0.928151408710973,0.09262790276592946
6.29999999999991,0.052227733017443545,0.7197609176970722,0.9307863579322238,0.09266403595550333
6.30999999999991,0.052084864959728326,0.7216009814100491,0.9334299338541232,0.09270132417458764
6.31999999999991,0.05194259703370618,0.7234417543871169,0.9360822758788316,0.09273979737589934
6.3299999999999095,0.051800926537760986,0.725283233548879,0.938743526738701,0.0927794864945445
6.339999999999909,0.051659850819454754,0.7271254158843206,0.9414138325819305,0.09282042348567217
6.349999999999909,0.05151936727725448,0.7289682984523518,0.9440933430597489,0.0928626413636868
6.359999999999909,0.051379473362343865,0.7308118783834587,0.9467822114150466,0.09290617424307429
6.369999999999909,0.051240166580519886,0.7326561528814657,0.9494805945723543,0.09295105738089957
6.379999999999908,0.05110144449418065,0.7345011192254174,0.9521886532290565,0.09299732722104845
6.389999999999908,0.050963304724398285,0.7363467747715879,0.9549065519476968,0.09304502144026137
6.399999999999908,0.050825741662586084,0.73819311992124,0.9576344602375505,0.09309417885721695
6.409999999999908,0.05068875639275385,0.7400401491791609,0.9603725496657507,0.09314483989785821
6.419999999999908,0.050552346725231685,0.7418878601469135,0.9631209969525509,0.09319704623269796
6.429999999999907,0.05041651053823171,0.7437362505127483,0.9658799830598283,0.09325084096845052
6.439999999999907,0.050281245780370916,0.7455853180543756,0.9686496932858126,0.0933062687039645
6.449999999999907,0.05014655047328063,0.7474350606419176,0.9714303173594505,0.09336337558830562
6.459999999999907,0.050012422714294895,0.7492854762410561,0.9742220495340197,0.09342220938104125
6.4699999999999065,0.049878860679218,0.7511365629163862,0.9770250886795575,0.09348281951476795
6.479999999999906,0.04974586262516115,0.752988318834988,0.9798396383736079,0.09354525715992422
6.489999999999906,0.04961342689344208,0.7548407422702351,0.9826659069897244,0.09360957529191406
6.499999999999906,0.04948155191235496,0.7566938316072135,0.9855041077830816,0.09367582876056645
6.509999999999906,0.0493502361999606,0.7585475853484945,0.9883544589724853,0.09374407436192891
6.519999999999905,0.04921947836800392,0.7604020021118668,0.9912171838180893,0.09381437091245842
6.529999999999905,0.04908927712441707,0.7622570806392843,0.9940925106936797,0.09388677932547099
6.539999999999905,0.048959631276326174,0.7641128198020811,0.9969806731526859,0.09396136268989942
6.549999999999905,0.04883053973302126,0.7659692186065229,0.9998819099867364,0.0940381863512681
6.559999999999905,0.048702001508856514,0.7678262761997163,1.0027964652754817,0.09411731799480944
6.569999999999904,0.048574015726045666,0.7696839918758949,1.0057245884262678,0.09419882773059106
6.579999999999904,0.04844658161731521,0.771542365083107,1.0086665342020698,0.09428278818050688
6.589999999999904,0.04831969852836547,0.7734013954303276,1.0116225627359188,0.09436927456693742
6.599999999999904,0.048193365920086974,0.7752610826950145,1.0145929395298579,0.09445836480283082
6.6099999999999035,0.04806758337047061,0.7771214268311419,1.0175779354362355,0.09455013958291579
6.619999999999903,0.04794235057613996,0.7789824279777252,1.020577826618915,0.09464468247567619
6.629999999999903,0.04781766735341861,0.7808440864678713,1.0235928944917083,0.09474208001566344
6.639999999999903,0.047693533638849706,0.7827064028383739,1.0266234256310587,0.09484242179563031
6.649999999999903,0.0475699494890485,0.7845693778398811,1.0296697116596794,0.09494580055787225
6.659999999999902,0.047446915079776115,0.7864330124476587,1.0327320490975176,0.09505231228407234
6.669999999999902,0.04732443070409201,0.788297307872971,1.0358107391760405,0.0951620562828075
6.679999999999902,0.047202496769428046,0.7901622655750999,1.0389060876114375,0.09527513527374526
6.689999999999902,0.047081113793413294,0.792027887274021,1.0420184043319005,0.0953916554674106
